601;Telefonica O2
602;Telefonica O2
606;Telefonica O2
607;Telefonica O2
702;Telefonica O2
720;Telefonica O2
721;Telefonica O2
722;Telefonica O2
723;Telefonica O2
724;Telefonica O2
725;Telefonica O2
726;Telefonica O2
727;Telefonica O2
728;Telefonica O2
729;Telefonica O2
792;Telefonica O2
603;T - Mobile
604;T - Mobile
605;T - Mobile
730;T - Mobile
731;T - Mobile
732;T - Mobile
733;T - Mobile
734;T - Mobile
735;T - Mobile
736;T - Mobile
737;T - Mobile
738;T - Mobile
739;T - Mobile
608;Vodafone
770;Vodafone
773;Vodafone
774;Vodafone
775;Vodafone
776;Vodafone
777;Vodafone
778;Vodafone
790;Ufon, Air Telecom a.s.
799;Verejna mobilni sit
704;Verejna mobilni sit
705;Verejna mobilni sit
703;Verejna mobilni sit
772;Verejna mobilni sit
771;Verejna mobilni sit
797;Verejna mobilni sit
791;Verejna mobilni sit
779;Verejna mobilni sit
793;Verejna mobilni sit