'Kod','Nazev','Obec','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
575453,'Za Jitonou',553131,,,2013-10-29,,380714,448629,,,
575569,'Bezručova',552046,,,2014-05-26,,609050,585036,,,
575585,'Bílkova',552046,,,2013-10-25,,378903,448188,,,
575615,'Brigádníků',552046,,,2011-07-01,,0,0,,,
576131,'Jordánská',552046,,,2014-03-12,,553582,554632,,,
576140,'Josefa Švehly',552046,,,2011-07-01,,0,0,,,
576158,'Václava Soumara',552046,,,2014-05-26,,609050,585036,,,
576379,'Kpt. Jaroše',552046,,,2014-05-26,,609050,585036,,,
576484,'Leskovická',552046,,,2011-07-01,,0,0,,,
576573,'Lužnická',552046,,,2014-05-07,,597036,579168,,,
576808,'Na Rybníčku',552046,,,2011-07-01,,0,0,,,
576832,'Na Výsluní',552046,,,2011-07-01,,0,0,,,
576964,'Odolenova',552046,,,2014-05-07,,597036,579168,,,
577103,'Pod Tržním nám.',552046,,,2011-07-01,,0,0,,,
577146,'Pražská',552046,,,2011-07-01,,0,0,,,
577464,'Stromová',552046,,,2011-07-01,,0,0,,,
577600,'Švamberkova',552046,,,2014-05-07,,597036,579168,,,
577731,'U Cihelny',552046,,,2011-07-01,,0,0,,,
577812,'K Návsi',552046,,,2011-07-01,,0,0,,,
577928,'Ústecká',552046,,,2014-02-25,,536114,543320,,,
578011,'Vilová',552046,,,2011-07-01,,0,0,,,
578088,'Zahradnická',552046,,,2011-07-01,,0,0,,,
578118,'Zálužská',552046,,,2011-07-01,,0,0,,,
578169,'Žižkova',552046,,,2011-07-01,,0,0,,,
578193,'Kaštanová',552046,,,2011-07-01,,0,0,,,
578207,'Kostnická',552046,,,2011-07-01,,0,0,,,
578215,'Soví',552046,,,2013-10-25,,378903,448188,,,
578321,'U Lužnice',552046,,,2011-07-01,,0,0,,,
578495,'Hlobilova',553271,,,2013-11-19,,400265,456453,,,
578592,'P. Voka',553271,,,2011-07-01,,0,0,,,
578762,'U Přejezdu',553271,,,2013-11-19,,400265,456453,,,
667340,'U Vodojemu',552046,,,2011-07-01,,0,0,,,
686158,'U Vodojemu',552054,,,2011-07-01,,0,0,,,
689599,'Lhotecká',552046,,,2011-07-01,,0,0,,,
689769,'V Cihelnách',552046,,,2011-07-01,,0,0,,,
690147,'Slavníkovců',552496,,,2011-07-01,,0,0,,,
691071,'Krkavec',553271,,,2013-09-10,,339299,435254,,,
692000,'garáže-U Sladovny',552046,,,2011-07-01,,0,0,,,
694436,'Na Skalách',552828,,,2011-07-01,,0,0,,,
708712,'Na Vápenkách',552496,,,2013-07-26,,274485,424623,,,
728691,'Za Rybníkem',552828,,,2011-07-01,,0,0,,,
729043,'Ludvíkov',552534,,,2011-07-01,,0,0,,,
730203,'Slunečný vrch',552496,,,2011-07-01,,0,0,,,
741892,'Nad Chmelnicí',553271,,,2011-07-01,,0,0,,,
768413,'Štičí',552828,,,2011-07-01,,0,0,,,
777421,'Fibichova',552046,,,2011-07-01,,0,0,,,
782084,'Železná',552046,,,2013-10-25,,378903,448188,,,
785938,'Vítkovců',552496,,,2011-07-01,,0,0,,,
858528,'U Lužnice',553271,,,2013-07-02,,257017,419004,,,
571261,'Čechova',552054,,,2014-05-27,,610956,585661,,,
571270,'Dlouhá',552054,,,2014-05-27,,610956,585661,,,
571296,'Gabrielova',552054,,,2011-07-01,,0,0,,,
571377,'Masokrámská',552054,,,2011-07-01,,0,0,,,
571393,'Na Libuši',552054,,,2014-04-17,,584130,573881,,,
571482,'Pod Schody',552054,,,2011-07-01,,0,0,,,
571521,'Soukenická',552054,,,2011-07-01,,0,0,,,
571628,'Zářečí',552054,,,2014-04-17,,584130,573881,,,
571725,'Moravečská',552461,,,2011-07-01,,0,0,,,
571741,'Na Kůskovci',552461,,,2011-07-01,,0,0,,,
571776,'Na Vyhlídce',552461,,,2011-07-01,,0,0,,,
571792,'Na Zahrádkách',552461,,,2011-07-01,,0,0,,,
572071,'Černovická',552496,,,2014-02-10,,510209,520994,,,
572101,'Ludvíka Zatěrandy',552496,,,2011-07-01,,0,0,,,
572136,'Mládeže',552496,,,2014-02-10,,510209,520994,,,
572233,'Turovecká',552496,,,2011-07-01,,0,0,,,
572462,'Krátká',552534,,,2011-07-01,,0,0,,,
572497,'Sadová',552534,,,2011-07-01,,0,0,,,
572543,'Zahradní',552534,,,2011-07-01,,0,0,,,
572705,'Na Svépomoci',552666,,,2014-05-06,,595972,578638,,,
572721,'náměstí V. Háka',552666,,,2014-05-06,,595972,578638,,,
572730,'Příběnická',552666,,,2014-05-06,,595972,578638,,,
572861,'E. K. Rosola',552704,,,2011-07-01,,0,0,,,
572888,'Jana Jeníka z Bratřic',552704,,,2011-07-01,,0,0,,,
573094,'17. listopadu',552704,,,2011-07-01,,0,0,,,
573302,'Nová',549631,,,2014-05-13,,599849,580176,,,
573400,'Hájkova',552828,,,2011-07-01,,0,0,,,
573418,'Husova',552828,,,2014-03-05,,546431,550656,,,
573426,'Krátká',552828,,,2011-07-01,,0,0,,,
573434,'Luční',552828,,,2014-01-14,,463593,489961,,,
573442,'Na Černé',552828,,,2011-07-01,,0,0,,,
573451,'Na Pískách',552828,,,2014-02-28,,540724,546835,,,
573507,'Pionýrská',552828,,,2014-01-14,,463593,489961,,,
573523,'Průmyslová',552828,,,2014-01-14,,463593,489961,,,
573566,'Spojovací',552828,,,2011-07-01,,0,0,,,
573582,'U Dubu',552828,,,2014-01-14,,463593,489961,,,
573612,'Ústrašická',552828,,,2014-02-28,,540724,546835,,,
573671,'Ve Vilách',552828,,,2014-01-14,,463593,489961,,,
573868,'Čechova',553069,,,2011-07-01,,0,0,,,
573957,'Jiráskova',553069,,,2011-07-01,,0,0,,,
574112,'Palackého',553069,,,2011-07-01,,0,0,,,
574163,'Průmyslová',553069,,,2011-07-01,,0,0,,,
574309,'Wolkerova',553069,,,2011-07-01,,0,0,,,
574376,'Červený dvůr',553069,,,2011-07-01,,0,0,,,
574384,'Lužnická',553069,,,2011-07-01,,0,0,,,
574465,'Rašínova',553131,,,2011-07-01,,0,0,,,
574651,'K Libouši',553131,,,2011-07-01,,0,0,,,
574732,'Lustigova',553131,,,2011-07-01,,0,0,,,
574759,'Mlýnská',553131,,,2011-07-01,,0,0,,,
574899,'Nad Hvížďalkou',553131,,,2011-07-01,,0,0,,,
574961,'Palackého',553131,,,2013-10-29,,380714,448629,,,
575135,'U Nového rybníka',553131,,,2013-10-29,,380714,448629,,,
575429,'U Svákova',553131,,,2013-11-05,,386348,449949,,,
575682,'Chocholouškova',552046,,,2011-07-01,,0,0,,,
575755,'Divadelní',552046,,,2011-07-01,,0,0,,,
575780,'Doliny',552046,,,2013-10-25,,378903,448188,,,
576239,'Kamenná',552046,,,2011-07-01,,0,0,,,
576395,'Kpt. Sochora',552046,,,2011-07-01,,0,0,,,
576581,'Lužnické údolí',552046,,,2011-07-01,,0,0,,,
576620,'Měšická',552046,,,2011-07-01,,0,0,,,
576654,'Minská',552046,,,2014-02-25,,536114,543320,,,
576662,'Míkova',552046,,,2014-02-25,,536114,543320,,,
576760,'Na Hrázi',552046,,,2014-05-07,,597036,579168,,,
576867,'Nad Rybníčkem',552046,,,2011-07-01,,0,0,,,
576883,'Nábřeží',552046,,,2014-05-07,,597036,579168,,,
577235,'Radnická',552046,,,2011-07-01,,0,0,,,
577260,'Roháčova',552046,,,2011-07-01,,0,0,,,
577456,'Stránského',552046,,,2013-10-25,,378903,448188,,,
577499,'Svatošova',552046,,,2011-07-01,,0,0,,,
577553,'Šlikova',552046,,,2011-07-01,,0,0,,,
577561,'Špitálská',552046,,,2011-07-01,,0,0,,,
577677,'Tržní',552046,,,2011-07-01,,0,0,,,
577774,'U Lázní',552046,,,2014-05-07,,597036,579168,,,
577847,'U Obecních domů',552046,,,2011-07-01,,0,0,,,
577910,'Údolní',552046,,,2013-11-04,,384761,449946,,,
578258,'nám. T. G. Masaryka',552046,,,2011-07-01,,0,0,,,
578517,'Erbenova',553271,,,2011-07-01,,0,0,,,
578941,'Malé náměstí',553271,,,2011-07-01,,0,0,,,
579017,'Sokolská',553271,,,2011-07-01,,0,0,,,
579076,'Na Slepičáku',553271,,,2011-07-01,,0,0,,,
667358,'K Tůni',552046,,,2011-07-01,,0,0,,,
689246,'K Oboře',552496,,,2013-07-26,,274485,424623,,,
689581,'Kolmá',552046,,,2014-05-07,,597036,579168,,,
689777,'Větrná',552046,,,2014-05-07,,597036,579168,,,
690139,'Dřevěná',552496,,,2014-02-10,,510209,520994,,,
694193,'Zahradní',549631,,,2011-07-01,,0,0,,,
694444,'Na Praze',552828,,,2013-10-22,,374165,446005,,,
722472,'Kanadská',552828,,,2013-10-22,,374165,446005,,,
738638,'Průmyslová',552461,,,2014-01-22,,476457,496972,,,
764191,'K Hůrkám',552496,,,2011-07-01,,0,0,,,
768367,'Okružní',552828,,,2014-01-14,,463593,489961,,,
768383,'Kaprová',552828,,,2011-07-01,,0,0,,,
772691,'Šípková',553069,,,2011-07-01,,0,0,,,
781517,'Příčná',552054,,,2011-07-01,,0,0,,,
781533,'Souběžná',552054,,,2011-07-01,,0,0,,,
782092,'Nad Letištěm',552046,,,2011-07-01,,0,0,,,
795348,'Vrbová',552828,,,2014-03-05,,546431,550656,,,
797383,'Třešňová',552828,,,2014-02-28,,540724,546835,,,
808326,'U Trati',552046,,,2011-07-01,,0,0,,,
821896,'Tulipánová',552046,,,2011-07-01,,0,0,,,
916447,'K Vodárně',553069,,,2013-01-16,,136896,368923,,,
931756,'Šípková',552828,,,2013-05-07,,218594,404365,,,
571300,'Libušina',552054,,,2014-05-27,,610956,585661,,,
571458,'Parkány',552054,,,2011-07-01,,0,0,,,
571474,'Plechamr',552054,,,2014-05-29,,612723,586493,,,
571750,'Na Nádvoří',552461,,,2014-01-22,,476457,496972,,,
571814,'Okružní',552461,,,2011-07-01,,0,0,,,
571903,'Příkrá',552461,,,2011-07-01,,0,0,,,
571989,'Táborská',552461,,,2014-01-22,,476457,496972,,,
572021,'Višňová',552461,,,2011-07-01,,0,0,,,
572039,'Zahradní',552461,,,2011-07-01,,0,0,,,
572187,'Gabrielovo náměstí',552496,,,2014-03-31,,569735,565624,,,
572284,'Vančurova',552496,,,2014-02-10,,510209,520994,,,
572551,'Zámecká',552534,,,2011-07-01,,0,0,,,
572586,'Pod Bory',563986,,,2011-07-01,,0,0,,,
572632,'Bechyňská',552666,,,2011-07-01,,0,0,,,
572691,'Malé náměstí',552666,,,2014-05-06,,595972,578638,,,
572837,'Četaře Duška',552704,,,2011-07-01,,0,0,,,
573230,'Žižkovo náměstí',552704,,,2011-07-01,,0,0,,,
573299,'nám. Prokopa Chocholouška',549631,,,2014-05-13,,599849,580176,,,
573353,'Bejblíkova',552828,,,2014-02-28,,540724,546835,,,
573370,'Bydžovská',552828,,,2014-01-14,,463593,489961,,,
573621,'Úzká',552828,,,2011-07-01,,0,0,,,
573701,'Zákostelní',552828,,,2014-01-14,,463593,489961,,,
573736,'Plaňačka',552828,,,2011-07-01,,0,0,,,
573833,'Boženy Němcové',553069,,,2011-07-01,,0,0,,,
573841,'Bydlinského',553069,,,2013-11-15,,396450,453712,,,
574031,'Klášterní',553069,,,2011-07-01,,0,0,,,
574155,'Prokopa Holého',553069,,,2011-07-01,,0,0,,,
574325,'Žižkova',553069,,,2011-07-01,,0,0,,,
574368,'Budějovická',553069,,,2013-11-15,,396450,453712,,,
575020,'Wilsonova',553131,,,2013-11-28,,410653,461072,,,
575151,'Vrchlického',553131,,,2011-07-01,,0,0,,,
575305,'Na Veselce',553131,,,2014-01-07,,452713,485653,,,
575551,'Betlémská',552046,,,2011-07-01,,0,0,,,
575771,'Dobrovského',552046,,,2011-07-01,,0,0,,,
575828,'Erbenova',552046,,,2011-07-01,,0,0,,,
575933,'Herlošova',552046,,,2011-07-01,,0,0,,,
576026,'Husova',552046,,,2014-02-25,,536114,543320,,,
576042,'Hutecká',552046,,,2013-10-25,,378903,448188,,,
576263,'Jozefa Gabčíka',552046,,,2011-07-01,,0,0,,,
576492,'Kyjevská',552046,,,2014-05-07,,597036,579168,,,
576735,'Na Bydžově',552046,,,2013-10-25,,378903,448188,,,
576824,'Na Vojtěchu',552046,,,2011-07-01,,0,0,,,
576841,'Na Zahradách',552046,,,2011-07-01,,0,0,,,
576891,'nám. F. Křižíka',552046,,,2013-11-01,,384014,449605,,,
576905,'nám. Mikuláše z Husi',552046,,,2011-07-01,,0,0,,,
576913,'nám. Přátelství',552046,,,2011-07-01,,0,0,,,
577219,'Příběnická',552046,,,2014-05-07,,597036,579168,,,
577316,'Náchodská',552046,,,2013-11-04,,384761,449946,,,
577324,'Sedláčkova',552046,,,2011-07-01,,0,0,,,
577375,'Smolínova',552046,,,2011-07-01,,0,0,,,
577383,'Smyslovská',552046,,,2011-07-01,,0,0,,,
577626,'Thurnova',552046,,,2013-10-25,,378903,448188,,,
577634,'Tismenická',552046,,,2011-07-01,,0,0,,,
577723,'U Bechyňské dráhy',552046,,,2011-07-01,,0,0,,,
578053,'Vosátkova',552046,,,2011-07-01,,0,0,,,
578126,'Zbyňkova',552046,,,2011-07-01,,0,0,,,
578428,'5. května',553271,,,2011-07-01,,0,0,,,
578576,'Hřbitovní',553271,,,2011-07-01,,0,0,,,
578738,'M. Krškové',553271,,,2011-07-01,,0,0,,,
578797,'Na Pískách',553271,,,2011-07-01,,0,0,,,
579050,'Štěpnice',553271,,,2011-07-01,,0,0,,,
579157,'Zahradní',553271,,,2011-07-01,,0,0,,,
579173,'Žižkova',553271,,,2011-07-01,,0,0,,,
667277,'Nad Obchvatem',552046,,,2011-07-01,,0,0,,,
667315,'Svážná',552046,,,2011-07-01,,0,0,,,
686239,'Za Hřištěm',552046,,,2011-07-01,,0,0,,,
689611,'Osada Jitřenka',552046,,,2011-07-01,,0,0,,,
689734,'Spojovací',552046,,,2014-05-07,,597036,579168,,,
689751,'U Kapličky',552046,,,2011-07-01,,0,0,,,
706523,'Nad Řekou',552046,,,2011-07-01,,0,0,,,
706540,'Maredova',552046,,,2014-03-12,,553582,554632,,,
709786,'Ústrašický potok',552828,,,2011-07-01,,0,0,,,
772631,'K Oboře',553069,,,2011-07-01,,0,0,,,
781495,'Krátká',552054,,,2011-07-01,,0,0,,,
795941,'U Areálu',552046,,,2011-07-01,,0,0,,,
821845,'Pilotů',552046,,,2011-07-01,,0,0,,,
867837,'V Lukách',553131,,,2012-07-03,,2268,114837,,,
1333704,'V Polní',552046,,,2014-05-26,,609452,585299,,,
571288,'Fáberova',552054,,,2011-07-01,,0,0,,,
571351,'Lázně',552054,,,2011-07-01,,0,0,,,
571555,'Táborská',552054,,,2014-05-29,,612723,586493,,,
571580,'Valtrova',552054,,,2011-07-01,,0,0,,,
571601,'Za Trubným',552054,,,2014-04-17,,584130,573881,,,
572110,'Krátká',552496,,,2011-07-01,,0,0,,,
572292,'Zámecká',552496,,,2011-07-01,,0,0,,,
572306,'Hrnčířská',552534,,,2014-05-26,,609062,585055,,,
572390,'Táborská',552534,,,2014-05-26,,609062,585055,,,
572594,'Pod Hasíkem',563986,,,2011-07-01,,0,0,,,
572811,'Aloise Mareše',552704,,,2011-07-01,,0,0,,,
572829,'Cihelna',552704,,,2011-07-01,,0,0,,,
572934,'Milady Jungmanové',552704,,,2011-07-01,,0,0,,,
573141,'Třída Václava Vaniše',552704,,,2013-11-19,,399994,456301,,,
573191,'V Suchdolci',552704,,,2011-07-01,,0,0,,,
573205,'Zahradní',552704,,,2011-07-01,,0,0,,,
573728,'Nová',552828,,,2013-10-22,,374165,446005,,,
573884,'Dukelská',553069,,,2011-07-01,,0,0,,,
574147,'Pod Vrbou',553069,,,2011-07-01,,0,0,,,
574261,'Táborská',553069,,,2013-11-15,,396450,453712,,,
574287,'Vítkovecká',553069,,,2014-02-25,,535556,542410,,,
574406,'Soukeník',553069,,,2013-11-15,,396450,453712,,,
574431,'Pod Kovosvitem',553069,,,2013-11-15,,396450,453712,,,
574708,'Krátká',553131,,,2013-11-05,,386348,449949,,,
574716,'Květnová',553131,,,2013-10-10,,366284,444091,,,
574724,'Luční',553131,,,2011-07-01,,0,0,,,
574767,'Mrázkova',553131,,,2011-07-01,,0,0,,,
574775,'Na Cihelně',553131,,,2011-07-01,,0,0,,,
574856,'Na Solinách',553131,,,2011-07-01,,0,0,,,
574911,'náměstí Republiky',553131,,,2013-10-23,,375665,447496,,,
574953,'Okružní',553131,,,2011-07-01,,0,0,,,
574988,'Pod Zadražilkou',553131,,,2011-07-01,,0,0,,,
575003,'Protifašistických bojovníků',553131,,,2013-10-29,,380714,448629,,,
575089,'tř. Dr. Edvarda Beneše',553131,,,2013-10-10,,366284,444091,,,
575232,'nábř. Otakara Ostrčila',553131,,,2013-11-28,,410653,461072,,,
575577,'Bělehradská',552046,,,2013-10-25,,378903,448188,,,
575607,'Boženy Němcové',552046,,,2014-02-25,,536114,543320,,,
575674,'Bydlinského',552046,,,2011-07-01,,0,0,,,
575721,'Čelkovická',552046,,,2013-10-25,,378903,448188,,,
575798,'Družstevní',552046,,,2013-11-04,,384761,449946,,,
575844,'Filipovská',552046,,,2011-07-01,,0,0,,,
576115,'Jihlavská',552046,,,2014-03-10,,551219,553308,,,
576247,'Kánišova',552046,,,2011-07-01,,0,0,,,
576409,'Krakovská',552046,,,2014-02-25,,536114,543320,,,
576425,'Krátká',552046,,,2014-05-24,,608971,585142,,,
576476,'Petrohradská',552046,,,2014-05-26,,609050,585036,,,
576514,'Lidická',552046,,,2011-07-01,,0,0,,,
576611,'Martínka Húsky',552046,,,2011-07-01,,0,0,,,
576671,'Zborovská',552046,,,2011-07-01,,0,0,,,
577031,'Pintova',552046,,,2014-05-07,,597036,579168,,,
577120,'Polní',552046,,,2011-07-01,,0,0,,,
577502,'Světlogorská',552046,,,2011-07-01,,0,0,,,
577529,'Šelmberská',552046,,,2011-07-01,,0,0,,,
577758,'U Jednoty',552046,,,2011-07-01,,0,0,,,
577898,'U Výzkumné stanice',552046,,,2013-10-25,,378903,448188,,,
577944,'V Lípách',552046,,,2011-07-01,,0,0,,,
578100,'Zavadilská',552046,,,2014-02-25,,536114,543320,,,
578550,'Hlinice',553271,,,2013-09-10,,339299,435254,,,
578614,'J. V. Sládka',553271,,,2013-11-19,,400265,456453,,,
578622,'Jateční',553271,,,2011-07-01,,0,0,,,
578711,'Krátká',553271,,,2011-07-01,,0,0,,,
578754,'Maredova',553271,,,2011-07-01,,0,0,,,
578771,'Mánesova',553271,,,2011-07-01,,0,0,,,
578819,'Na Skalce',553271,,,2011-07-01,,0,0,,,
578878,'Nová',553271,,,2013-11-19,,400265,456453,,,
579033,'K. H. Máchy',553271,,,2011-07-01,,0,0,,,
579106,'Budějovická',553271,,,2013-09-10,,339299,435254,,,
689564,'Jedlová',552046,,,2014-05-07,,597036,579168,,,
692034,'garáže-Černé mosty',552046,,,2011-07-01,,0,0,,,
745081,'Slunečná',552046,,,2013-10-25,,378903,448188,,,
768375,'Karasová',552828,,,2011-07-01,,0,0,,,
772640,'A. Sedláčka',553069,,,2011-07-01,,0,0,,,
781509,'Luční',552054,,,2011-07-01,,0,0,,,
784206,'U Vodičků',553131,,,2011-07-01,,0,0,,,
810291,'V Ohradách',552046,,,2011-07-01,,0,0,,,
